ObjectId,Country,ISO2,ISO3,Country_Disasters,Unit,Source,CTS_Code,CTS_Name,F1980,F1981,F1982,F1983,F1984,F1985,F1986,F1987,F1988,F1989,F1990,F1991,F1992,F1993,F1994,F1995,F1996,F1997,F1998,F1999,F2000,F2001,F2002,F2003,F2004,F2005,F2006,F2007,F2008,F2009,F2010,F2011,F2012,F2013,F2014,F2015,F2016,F2017,F2018,F2019,F2020,F2021
553,Mexico,MX,MEX,Mexico - Flood,Number,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2023-03-31.",ECCD,Climate Related Disasters Frequency,2,,2,,1,,1,2,,1,1,2,,2,,,1,,2,4,3,1,2,3,2,3,1,2,1,5,2,3,,1,,1,5,1,1,3,2,3
554,Mexico,MX,MEX,Mexico - Landslide,Number,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2023-03-31.",ECCD,Climate Related Disasters Frequency,,,,1,,,,,,,,,,,,,,1,1,,,,,1,,,2,1,1,,2,,,,,,,,,,,
555,Mexico,MX,MEX,Mexico - Storm,Number,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2023-03-31.",ECCD,Climate Related Disasters Frequency,,1,1,2,1,,,,3,,1,1,1,5,,5,4,3,4,1,2,5,3,2,,4,3,4,1,2,4,5,2,4,6,3,2,4,2,3,5,7
557,Mexico,MX,MEX,Mexico - Wildfire,Number,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2023-03-31.",ECCD,Climate Related Disasters Frequency,,,,,,,,,,1,,,,,,,,,1,,,,,1,,,,,,,,1,,,,,,,,,,
558,Micronesia,FM,FSM,Micronesia - Drought,Number,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2023-03-31.",ECCD,Climate Related Disasters Frequency,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,
559,Micronesia,FM,FSM,Micronesia - Flood,Number,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2023-03-31.",ECCD,Climate Related Disasters Frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
560,Micronesia,FM,FSM,Micronesia - Storm,Number,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2023-03-31.",ECCD,Climate Related Disasters Frequency,,,,,,,,1,,,,,,,,,,,,,,,2,1,1,,,,,,,,,,,1,,,,1,,
562,Moldova,MD,MDA,Moldova - Drought,Number,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2023-03-31.",ECCD,Climate Related Disasters Frequency,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,1,,,,,,,,,
563,Moldova,MD,MDA,Moldova - Extreme temperature,Number,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2023-03-31.",ECCD,Climate Related Disasters Frequency,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,1,,
564,Moldova,MD,MDA,Moldova - Flood,Number,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2023-03-31.",ECCD,Climate Related Disasters Frequency,,,,,,,,,,,,,,,1,,,1,,1,,,1,,,1,,,1,,1,,,,,,,,,,,
565,Moldova,MD,MDA,Moldova - Storm,Number,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2023-03-31.",ECCD,Climate Related Disasters Frequency,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,
567,Mongolia,MN,MNG,Mongolia - Drought,Number,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2023-03-31.",ECCD,Climate Related Disasters Frequency,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
568,Mongolia,MN,MNG,Mongolia - Extreme temperature,Number,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2023-03-31.",ECCD,Climate Related Disasters Frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,1,,1,1,,
569,Mongolia,MN,MNG,Mongolia - Flood,Number,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2023-03-31.",ECCD,Climate Related Disasters Frequency,,,1,,,,,,,,,,,,1,,1,,,,,,,1,,,,,,1,,,,,,,,,1,1,3,1
570,Mongolia,MN,MNG,Mongolia - Landslide,Number,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2023-03-31.",ECCD,Climate Related Disasters Frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
571,Mongolia,MN,MNG,Mongolia - Storm,Number,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2023-03-31.",ECCD,Climate Related Disasters Frequency,,,,,,,,,,,1,1,,1,,,,,,,2,1,2,,,,,,1,,,,,,,,,,1,1,1,1
573,Mongolia,MN,MNG,Mongolia - Wildfire,Number,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2023-03-31.",ECCD,Climate Related Disasters Frequency,,,,,,,1,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
574,Montenegro,ME,MNE,Montenegro - Extreme temperature,Number,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2023-03-31.",ECCD,Climate Related Disasters Frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
575,Montenegro,ME,MNE,Montenegro - Flood,Number,"The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2023-03-31.",ECCD,Climate Related Disasters Frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,2,,,,,,,,,,,
