Country,Indicator,Unit,F1995,F1996,F1997,F1998,F1999,F2000,F2001,F2002,F2003,F2004,F2005,F2006,F2007,F2008,F2009,F2010,F2011,F2012,F2013,F2014,F2015,F2016,F2017,F2018,F2019,F2020,F2021,F2022
France,Expenditure on environment protection,Percent of GDP,0.589440954531538,0.600351682470018,0.642183454687081,0.624382348938084,0.637545066056435,0.696070905629369,0.746001820309453,0.758079113053106,0.8081360621979,0.837431976990867,0.867883606422769,0.895706032678066,0.869235999505501,0.893152912596994,0.99188090199347,0.993991346616956,0.991367437033885,1.00579087362912,1.02262953378277,1.02313508685833,1.00448865373139,0.945021527405087,0.934903680152113,0.963438505212613,0.995473071235029,1.03792565537647,1.04100969095863,
France,Expenditure on environmental protection n.e.c.,Domestic Currency,1527000000.0,1574000000.0,1641000000.0,1446000000.0,1572000000.0,1561000000.0,1987000000.0,1789000000.0,2003000000.0,1955000000.0,1842000000.0,2080000000.0,1760000000.0,1672000000.0,1759000000.0,1728000000.0,1590000000.0,1648000000.0,1937000000.0,1881000000.0,1923000000.0,1797000000.0,1781000000.0,1873000000.0,1857000000.0,1799000000.0,1847000000.0,
France,Expenditure on environmental protection n.e.c.,Percent of GDP,0.125341364373995,0.125692145279038,0.126936045427788,0.1069608904827,0.112205647541504,0.105573910191163,0.129176960083214,0.112669563284208,0.122833247274427,0.114728767695665,0.104309121951634,0.112544916513856,0.090658095355833,0.0839197341872534,0.0908376376636911,0.0866039957118994,0.0772456250555658,0.0788968232538812,0.0914892340740482,0.087497935820892,0.0874714341858197,0.0804340304431839,0.0775277484914519,0.0792533848769478,0.0761803961626741,0.0778888021533505,0.0739147695075764,
France,Expenditure on environmental protection R&D,Domestic Currency,55000000.0,102000000.0,99000000.0,96000000.0,95000000.0,198000000.0,264000000.0,237000000.0,199000000.0,225000000.0,380000000.0,472000000.0,473000000.0,413000000.0,312000000.0,341000000.0,373000000.0,357000000.0,373000000.0,699000000.0,773000000.0,798000000.0,809000000.0,844000000.0,880000000.0,761000000.0,831000000.0,
France,Expenditure on environmental protection R&D,Percent of GDP,0.0045145874528943,0.0081452343192261,0.0076579332707806,0.0071011379573576,0.0067808756465921,0.0133911814336004,0.0171629176960083,0.0149260405245149,0.0122036026997558,0.0132040781235421,0.0215187113689581,0.0255390387473751,0.0243643631268801,0.0207289774039089,0.0161121904213028,0.0170902560982394,0.018121143487878,0.0170911200859439,0.0176176996952091,0.0325151818919742,0.0351614241422978,0.0357186178595775,0.0352161417908953,0.0357126838420416,0.0361005646866738,0.0329479591098942,0.0332556434546811,
France,Expenditure on pollution abatement,Domestic Currency,362000000.0,382000000.0,362000000.0,365000000.0,357000000.0,491000000.0,720000000.0,697000000.0,663000000.0,756000000.0,811000000.0,1053000000.0,1106000000.0,1405000000.0,1786000000.0,1873000000.0,1591000000.0,1692000000.0,1849000000.0,1695000000.0,1742000000.0,1611000000.0,1580000000.0,1818000000.0,2466000000.0,2597000000.0,3039000000.0,
France,Expenditure on pollution abatement,Percent of GDP,0.0297141937808685,0.030504701077886,0.028001735798208,0.0269991182753703,0.0254818169035096,0.0332074246661504,0.04680795735275,0.0438964145383413,0.040658234120292,0.0443657024951013,0.0459254603163817,0.0569758639851397,0.0569703712861087,0.070518676156155,0.0922319618347654,0.0938711134076317,0.0772942072096888,0.0810032918359023,0.087332779454267,0.0788458273346156,0.0792382934746219,0.0721086383105004,0.0687781261181887,0.0769261365223124,0.101163627860611,0.112438698828378,0.121617208734989,
France,Expenditure on waste management,Domestic Currency,2960000000.0,3194000000.0,3716000000.0,3948000000.0,4021000000.0,4668000000.0,4799000000.0,5551000000.0,6362000000.0,6912000000.0,7322000000.0,7770000000.0,8014000000.0,8408000000.0,8978000000.0,9550000000.0,10263000000.0,10604000000.0,10878000000.0,11290000000.0,11289000000.0,10925000000.0,11158000000.0,11668000000.0,12072000000.0,12094000000.0,13134000000.0,
France,Expenditure on waste management,Percent of GDP,0.242966888373952,0.25505763152557,0.287443232668898,0.292034298496334,0.287009483946812,0.315707247131548,0.311988037966454,0.349596839458153,0.390147338572093,0.405629279955212,0.414631591167135,0.42042019293878,0.412803395557753,0.42200784990815,0.463638607700181,0.478627406856851,0.498598647764322,0.507658928267085,0.513794469931593,0.52517368177452,0.513502350766364,0.489004887363263,0.485712867865031,0.493715160034291,0.495234110110825,0.523617105749094,0.525607245648353,
France,Expenditure on waste water management,Domestic Currency,1765000000.0,1704000000.0,1874000000.0,1971000000.0,2227000000.0,2592000000.0,2807000000.0,2875000000.0,3082000000.0,3439000000.0,3951000000.0,4113000000.0,4405000000.0,4732000000.0,5011000000.0,4831000000.0,4939000000.0,4916000000.0,4780000000.0,4601000000.0,4470000000.0,4269000000.0,4430000000.0,4691000000.0,5030000000.0,4751000000.0,5061000000.0,
